,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,choose_the_most_natural_answer_to_the_question_above,choose_the_most_natural_answer_to_the_question_above:confidence,_created_at,orig__unit_id,_updated_at,choose_the_most_natural_answer_to_the_question_above_gold,choose_the_most_natural_answer_to_the_question_above_gold_reason,would_you_be_able_to_tell_me_what_the_balance_on_my_room_is,Label,Diff,Low_confidence,Low_confidence & diff,both_low_conf_with_diff,high_conf_toby_low_conf_info_desk_with_diff,label_ml,cleaned_sent
400,1811815877,False,finalized,5,7/15/2018 22:41:31,2,0.77,7/13/2018 18:16:54,1810988213,7/13/2018 18:16:54,,,How long is the class and what's the price?,1,0,0,0,0,0,1,how long is the class and what s the price
401,1811818711,False,finalized,5,7/15/2018 19:05:39,2,1.0,7/13/2018 18:17:18,1810991135,7/13/2018 18:17:18,,,What time can we check in?,1,0,0,0,0,0,1,what time can we check in
402,1811814200,False,finalized,5,7/15/2018 18:57:04,2,0.7963,7/13/2018 18:16:41,1810986497,7/13/2018 18:16:41,,,Thanks and is there a wine store nearby?,1,0,0,0,0,0,1,thanks and is there a wine store nearby
403,1811818579,False,finalized,5,7/15/2018 18:47:20,2,1.0,7/13/2018 18:17:17,1810991000,7/13/2018 18:17:17,,,And how long of a drive from airport?,1,0,0,0,0,0,1,and how long of a drive from airport
404,1811814966,False,finalized,5,7/15/2018 5:42:56,2,0.8119,7/13/2018 18:16:47,1810987285,7/13/2018 18:16:47,,,What time can we check in tomorrow?,1,0,0,0,0,0,1,what time can we check in tomorrow
405,1811813267,False,finalized,6,7/15/2018 15:25:47,3,0.7034,7/13/2018 18:16:33,1810985535,7/13/2018 18:16:33,,,It there any way I can move next door to my daughter who is in 852 tomorrow?,0,0,0,0,0,0,0,it there any way i can move next door to my daughter who is in tomorrow
406,1811814589,False,finalized,5,7/15/2018 20:50:46,2,1.0,7/13/2018 18:16:44,1810986897,7/13/2018 18:16:44,,,Is there a place here at the hotel where I could print boarding passes?,1,0,0,0,0,0,1,is there a place here at the hotel where i could print boarding passes
407,1811816155,False,finalized,5,7/15/2018 9:06:20,2,0.5979,7/13/2018 18:16:56,1810988498,7/13/2018 18:16:56,,,is there someplace she can plant her bags,1,0,1,0,0,0,1,is there someplace she can plant her bags
408,1811813404,False,finalized,5,7/15/2018 19:01:48,2,0.7905,7/13/2018 18:16:35,1810985678,7/13/2018 18:16:35,,,What time does the indoor pools and the other pools close?,1,0,0,0,0,0,1,what time does the indoor pools and the other pools close
409,1811816065,False,finalized,5,7/16/2018 2:34:11,0,0.8052,7/13/2018 18:16:55,1810988408,7/13/2018 18:16:55,,,How big of a bag of jerky do you want?,0,0,0,0,0,0,0,how big of a bag of jerky do you want
410,1811813341,False,finalized,5,7/15/2018 1:36:49,2,1.0,7/13/2018 18:16:34,1810985612,7/13/2018 18:16:34,,,What time does the pool and bowling close?,1,0,0,0,0,0,1,what time does the pool and bowling close
411,1811819195,False,finalized,5,7/15/2018 5:14:37,3,1.0,7/13/2018 18:17:22,1810991656,7/13/2018 18:17:22,,,I was wondering about what time our room would be available,0,0,0,0,0,0,0,i was wondering about what time our room would be available
412,1811814772,False,finalized,5,7/16/2018 3:15:39,0,0.6058,7/13/2018 18:16:45,1810987085,7/13/2018 18:16:45,,,Ok can we extend Rob Milner .To,0,0,1,0,0,0,0,ok can we extend rob milner to
413,1811813316,False,finalized,5,7/15/2018 0:28:24,2,0.5825,7/13/2018 18:16:34,1810985586,7/13/2018 18:16:34,,,"Hi this is Shannon Mondejar is room 1004, we have the wifi password but what is the username?",1,0,1,0,0,0,1,hi this is shannon mondejar is room we have the wifi password but what is the username
414,1811814220,False,finalized,5,7/15/2018 12:01:45,2,0.598,7/13/2018 18:16:41,1810986517,7/13/2018 18:16:41,,,Hi actually yes do you have an amenity hit I just need some deodorant?,1,0,1,0,0,0,1,hi actually yes do you have an amenity hit i just need some deodorant
415,1811818026,False,finalized,5,7/15/2018 22:53:47,2,1.0,7/13/2018 18:17:12,1810990430,7/13/2018 18:17:12,,,Until what time today does the hotel restaurant serve breakfast?,1,0,0,0,0,0,1,until what time today does the hotel restaurant serve breakfast
416,1811817557,False,finalized,5,7/15/2018 5:27:12,2,0.7917,7/13/2018 18:17:08,1810989945,7/13/2018 18:17:08,,,"Hi there, Guild, do you offer a government discount?",1,0,0,0,0,0,1,hi there guild do you offer a government discount
417,1811815928,False,finalized,6,7/15/2018 8:29:40,2,0.8305,7/13/2018 18:16:54,1810988266,7/13/2018 18:16:54,,,Is there a printer where I can print my boarding passes?,1,0,0,0,0,0,1,is there a printer where i can print my boarding passes
418,1811814535,False,finalized,6,7/15/2018 13:21:09,2,0.6557,7/13/2018 18:16:43,1810986843,7/13/2018 18:16:43,,,Thx..what time can we Check in ?,1,0,1,0,0,0,1,thx what time can we check in
419,1811817112,False,finalized,5,7/15/2018 19:19:37,2,0.5844,7/13/2018 18:17:04,1810989484,7/13/2018 18:17:04,,,what do you do when it's 95 degrees and you're in the pool and thirsty?,1,0,1,0,0,0,1,what do you do when it s degrees and you re in the pool and thirsty
420,1811814923,False,finalized,6,7/15/2018 13:42:18,2,0.8187,7/13/2018 18:16:46,1810987238,7/13/2018 18:16:46,,,"We are going to be able to check in anytime 10:30 on , what is the earliest we can Check in ?",1,0,0,0,0,0,1,we are going to be able to check in anytime on what is the earliest we can check in
421,1811815835,False,finalized,6,7/15/2018 15:03:06,2,1.0,7/13/2018 18:16:54,1810988171,7/13/2018 18:16:54,,,Hello what is the best way to get the from the airport to the hotel,1,0,0,0,0,0,1,hello what is the best way to get the from the airport to the hotel
422,1811816678,False,finalized,5,7/16/2018 1:53:58,2,0.5743,7/13/2018 18:17:01,1810989034,7/13/2018 18:17:01,,,Question: what time is check out,1,0,1,0,0,0,1,question what time is check out
423,1811819016,False,finalized,5,7/15/2018 19:31:15,2,0.7864,7/13/2018 18:17:21,1810991455,7/13/2018 18:17:21,,,Hey what his the earliest I can do check in ?,1,0,0,0,0,0,1,hey what his the earliest i can do check in
424,1811817572,False,finalized,5,7/15/2018 20:39:16,0,0.5926,7/13/2018 18:17:08,1810989960,7/13/2018 18:17:08,,,How many bananas and how many tea bags?,0,0,1,0,0,0,0,how many bananas and how many tea bags
425,1811817670,False,finalized,5,7/15/2018 21:24:46,0,0.7982,7/13/2018 18:17:09,1810990061,7/13/2018 18:17:09,,,Ok what time works well for calls for you?,0,0,0,0,0,0,0,ok what time works well for calls for you
426,1811815310,False,finalized,5,7/15/2018 18:51:45,1,1.0,7/13/2018 18:16:49,1810987632,7/13/2018 18:16:49,,,Actually- can you arrange for a car to get us at the airport?,0,0,0,0,0,0,0,actually can you arrange for a car to get us at the airport
427,1811818706,False,finalized,5,7/15/2018 11:12:44,0,0.8173,7/13/2018 18:17:18,1810991131,7/13/2018 18:17:18,,,so not sure what time we will arrive,0,0,0,0,0,0,0,so not sure what time we will arrive
428,1811818135,False,finalized,7,7/15/2018 15:46:27,0,0.5616,7/13/2018 18:17:13,1810990544,7/13/2018 18:17:13,,,can you tell me how busy the blue is right now,0,0,1,0,0,0,0,can you tell me how busy the blue is right now
429,1811818288,False,finalized,5,7/15/2018 18:11:08,2,0.6127,7/13/2018 18:17:14,1810990698,7/13/2018 18:17:14,,,My package includes champagne and chocolate truffles how do I go about getting them?,1,0,1,0,0,0,1,my package includes champagne and chocolate truffles how do i go about getting them
430,1811815796,False,finalized,5,7/15/2018 5:56:02,2,1.0,7/13/2018 18:16:53,1810988130,7/13/2018 18:16:53,,,"Hi, is there Aloe Vera in the boutique shop?",1,0,0,0,0,0,1,hi is there aloe vera in the boutique shop
431,1811819018,False,finalized,6,7/15/2018 10:14:24,0,1.0,7/13/2018 18:17:21,1810991457,7/13/2018 18:17:21,,,How far away is it?,0,0,0,0,0,0,0,how far away is it
432,1811819040,False,finalized,7,7/15/2018 5:07:36,2,0.4471,7/13/2018 18:17:21,1810991483,7/13/2018 18:17:21,,,Just wanted to know for sure what time to be out.,1,0,1,0,0,0,1,just wanted to know for sure what time to be out
433,1811816139,False,finalized,5,7/15/2018 23:44:50,3,0.5763,7/13/2018 18:16:56,1810988482,7/13/2018 18:16:56,,,If possible can we ask for a room with a city view?,0,0,1,0,0,0,0,if possible can we ask for a room with a city view
434,1811814647,False,finalized,5,7/15/2018 10:15:49,2,0.8019,7/13/2018 18:16:44,1810986957,7/13/2018 18:16:44,,,Can you please tell me what PG movies are available with the movie night package?,1,0,0,0,0,0,1,can you please tell me what pg movies are available with the movie night package
435,1811815938,False,finalized,6,7/15/2018 14:10:10,2,0.826,7/13/2018 18:16:54,1810988276,7/13/2018 18:16:54,,,How long of a drive is it from the airport?,1,0,0,0,0,0,1,how long of a drive is it from the airport
436,1811813414,False,finalized,5,7/15/2018 18:28:06,2,0.7884,7/13/2018 18:16:35,1810985688,7/13/2018 18:16:35,,,", do you have wine bottle openers ?",1,0,0,0,0,0,1,do you have wine bottle openers
437,1811815693,False,finalized,5,7/15/2018 14:49:45,2,0.802,7/13/2018 18:16:53,1810988028,7/13/2018 18:16:53,,,What transportation do you suggest from the airport to the hotel?,1,0,0,0,0,0,1,what transportation do you suggest from the airport to the hotel
438,1811817480,False,finalized,7,7/15/2018 15:20:35,2,1.0,7/13/2018 18:17:07,1810989866,7/13/2018 18:17:07,,,Hello friends at guild - is there a store close by where I can get a birthday card?,1,0,0,0,0,0,1,hello friends at guild is there a store close by where i can get a birthday card
439,1811813199,False,finalized,5,7/14/2018 22:24:18,3,1.0,7/13/2018 18:16:33,1810985467,7/13/2018 18:16:33,,,Can you tell me what floor we will be on?,0,0,0,0,0,0,0,can you tell me what floor we will be on
440,1811816398,False,finalized,5,7/15/2018 7:00:39,2,1.0,7/13/2018 18:16:58,1810988745,7/13/2018 18:16:58,,,Do I need to send the picture of my license plate now or when we arrive?,1,0,0,0,0,0,1,do i need to send the picture of my license plate now or when we arrive
441,1811814759,False,finalized,5,7/15/2018 19:01:23,2,0.434,7/13/2018 18:16:45,1810987072,7/13/2018 18:16:45,,,can you come by a bit later?,1,0,1,0,0,0,1,can you come by a bit later
